trial_id,p,r,l,time_total_s,config.clahe,config.normalize,config.blur,config.thresh
16881_00073,42.40971878454754,44.7695704374262,1.61297607421875,1.3300197124481201,False,32.0,7.0,109
16881_00058,42.40971878454754,44.7695704374262,1.61297607421875,1.3755054473876953,True,32.0,7.0,131
16881_00002,42.402090464117656,44.781819601741844,1.613037109375,1.0572667121887207,True,4.0,7.0,153
16881_00072,42.402090464117656,44.781819601741844,1.613037109375,1.2741172313690186,True,4.0,7.0,197
16881_00066,42.402090464117656,44.781819601741844,1.613037109375,1.1232786178588867,False,4.0,7.0,144
16881_00005,42.402090464117656,44.781819601741844,1.613037109375,1.0936737060546875,False,4.0,7.0,225
16881_00061,42.402090464117656,44.781819601741844,1.613037109375,1.1297366619110107,True,32.0,7.0,187
16881_00099,42.402090464117656,44.781819601741844,1.613037109375,0.7428126335144043,False,32.0,7.0,237
16881_00011,42.402090464117656,44.781819601741844,1.613037109375,1.0792808532714844,False,32.0,7.0,151
16881_00021,42.402090464117656,44.781819601741844,1.613037109375,1.1277246475219727,True,32.0,7.0,147
16881_00024,42.402090464117656,44.781819601741844,1.613037109375,1.1174898147583008,False,4.0,7.0,211
16881_00028,42.402090464117656,44.781819601741844,1.613037109375,1.0866100788116455,False,4.0,7.0,151
16881_00090,42.402090464117656,44.781819601741844,1.613037109375,1.293337106704712,True,32.0,7.0,156
16881_00040,42.402090464117656,44.781819601741844,1.613037109375,1.0458765029907227,False,32.0,7.0,222
16881_00031,42.402090464117656,44.781819601741844,1.613037109375,1.3342232704162598,False,4.0,7.0,216
16881_00043,42.402090464117656,44.781819601741844,1.613037109375,1.2340028285980225,True,4.0,7.0,203
16881_00017,40.2937552041366,48.22418924928943,1.6270751953125,1.100818157196045,False,,7.0,144
16881_00038,40.904479077893214,46.03787672109666,1.73321533203125,1.008584976196289,False,32.0,,82
16881_00094,40.904479077893214,46.03787672109666,1.73321533203125,0.9800126552581787,True,4.0,,126
16881_00006,40.904479077893214,46.03787672109666,1.73321533203125,0.9903883934020996,False,32.0,,71
16881_00065,40.904479077893214,46.03787672109666,1.73321533203125,1.0819580554962158,True,4.0,,75
16881_00077,40.904479077893214,46.03787672109666,1.73321533203125,1.0699687004089355,False,32.0,,38
16881_00091,40.904479077893214,46.03787672109666,1.73321533203125,1.1686604022979736,False,4.0,,20
16881_00055,40.904479077893214,46.03787672109666,1.73321533203125,1.0774056911468506,True,32.0,,36
16881_00001,40.904479077893214,46.03787672109666,1.73321533203125,1.0461242198944092,False,32.0,,88
16881_00044,40.904479077893214,46.03787672109666,1.73321533203125,1.0689096450805664,False,32.0,,84
16881_00086,40.904479077893214,46.03787672109666,1.73321533203125,1.2920243740081787,True,32.0,,77
16881_00081,40.85265357908641,46.04965739804829,1.741790771484375,1.0939712524414062,False,4.0,,174
16881_00076,40.85265357908641,46.04965739804829,1.741790771484375,1.1383757591247559,True,32.0,,248
16881_00083,40.85265357908641,46.04965739804829,1.741790771484375,1.2465541362762451,True,32.0,,223
16881_00000,40.85265357908641,46.04965739804829,1.741790771484375,1.0471773147583008,True,4.0,,203
16881_00036,40.85265357908641,46.04965739804829,1.741790771484375,1.1543197631835938,False,4.0,,216
16881_00012,40.85265357908641,46.04965739804829,1.741790771484375,1.0183115005493164,False,4.0,,195
16881_00014,40.85265357908641,46.04965739804829,1.741790771484375,0.9914371967315674,False,32.0,,195
16881_00027,40.85265357908641,46.04965739804829,1.741790771484375,0.9886143207550049,False,4.0,,235
16881_00046,40.85265357908641,46.04965739804829,1.741790771484375,0.9629082679748535,False,32.0,,227
16881_00030,39.80644998215043,47.859975610266694,1.74713134765625,1.062659502029419,True,,,128
16881_00018,47.8377729846035,35.70226633188183,1.943023681640625,1.0784046649932861,False,,3.0,90
16881_00068,35.30273129709476,49.58189149335277,2.556671142578125,1.0425167083740234,False,,3.0,172
16881_00049,33.95999855732062,49.639696773042246,2.895721435546875,1.095149278640747,True,,5.0,164
16881_00019,48.128786246007905,26.02697835582862,3.025238037109375,1.1196379661560059,True,,7.0,81
16881_00047,33.23193797987872,49.80517821956614,3.07647705078125,1.081376075744629,False,,5.0,186
16881_00053,32.56302576079607,49.82147767281925,3.263214111328125,1.1507346630096436,False,,7.0,191
16881_00042,32.39326427396171,49.83259052145185,3.311309814453125,1.1458501815795898,False,,7.0,192
16881_00056,31.263689898871302,49.845347426093255,3.64581298828125,1.0663843154907227,False,,3.0,193
16881_00032,49.361243909165424,18.990069378801252,3.803985595703125,1.087965965270996,False,,,65
16881_00078,48.83758119908467,17.713129384343407,3.962921142578125,1.2314732074737549,True,,7.0,71
16881_00052,49.78022719181377,10.131058802013051,4.839935302734375,1.0639667510986328,True,,5.0,49
16881_00009,49.889688603090036,4.206904685999062,5.5576171875,1.0103583335876465,False,,,45
16881_00054,49.93403679409551,2.2197763695655297,5.797027587890625,1.161820650100708,False,,,40
16881_00085,17.0,0.041824136861206423,6.06072998046875,1.449094533920288,False,,,24
16881_00048,22.25288250189436,49.96438038121923,7.566864013671875,1.079378604888916,False,,3.0,225
16881_00071,21.161589852061002,49.97026918331656,8.2691650390625,1.0673720836639404,False,,3.0,228
16881_00029,16.250366355213593,49.98217130126354,12.60552978515625,1.0972025394439697,True,,3.0,230
16881_00003,15.1730632317456,49.9906121857741,13.92816162109375,1.0396676063537598,False,,3.0,244
